Name,Highly_Influential_Citations,Highly_Influential_Citations_Updated,Semantic Scholar URL,hindexscopus2019,Papers_by_author_scopus_2019,Total_citations_scopus_2019,Hindex_2014_google_scholar,Hindex_google_scholar_overall,Scopus_URL,Google_scholar_URL,Affiliation,City,Citations All (Google Scholar),Citations (Since 2014),Expertise
L Venkata Subramaniam,83,86,https://www.semanticscholar.org/author/L.-Venkata-Subramaniam/1695323,15,89,683,15,23,https://www.scopus.com/authid/detail.uri?authorId=26639857800,https://scholar.google.co.in/citations?user=oV1WKFMAAAAJ,IBM India,New Delhi,1918,1015,AI Reasoning Big Data Noisy Text
Subrat Panda,83,94,https://www.semanticscholar.org/author/Subrat-Kumar-Panda/24967401,1,2,9,2,3,https://www.scopus.com/authid/detail.uri?authorId=57197033181,https://scholar.google.com/citations?user=uMJ4eR8AAAAJ&hl=en,Capillary Technologies,Bengaluru,57,24,AI Architecture GPU CPU
Anupam Basu,82,82,https://www.semanticscholar.org/author/Anupam-Basu/1713201,12,149,683,16,23,https://www.scopus.com/authid/detail.uri?authorId=7402166595,https://scholar.google.com/citations?hl=en&user=AMidPUMAAAAJ&view_op=list_works&sortby=pubdate,IIT Kharagpur,Kharagpur,5247,2777,Natural Language Technology Assistive Technology Cognitive Systems
Asif Ekbal,80,79,https://www.semanticscholar.org/author/Asif-Ekbal/1734904,14,144,749,20,26,https://www.scopus.com/authid/detail.uri?authorId=23093674100,https://scholar.google.com/citations?user=IAL_F04AAAAJ&hl=en,IIT Patna,Patna,2305,1467,Artificial Intelligence Natural Language Processing Machine Learning
Purushottam Kar,79,75,https://www.semanticscholar.org/author/Purushottam-Kar/39746893,10,22,349,14,15,https://www.scopus.com/authid/detail.uri?authorId=34976937400,https://scholar.google.com/citations?user=MNXz0AoAAAAJ&hl=en,IIT Kanpur,Kanpur,925,876,Learning Theory Non-convex Optimization Online Learning Machine Learning
Prachi Jain,78,78,https://www.semanticscholar.org/author/Prachi-Jain/47452733,,,,2,2,0,https://scholar.google.com/citations?user=C_2h8iMAAAAJ&hl=en,IIT Delhi,New Delhi,26,24,Natural Language Processing Deep Learning
Shivaram Kalyanakrishnan,72,66,https://www.semanticscholar.org/author/Shivaram-Kalyanakrishnan/3027736,11,25,308,14,15,https://www.scopus.com/authid/detail.uri?authorId=23397519900,https://scholar.google.com/citations?user=YZkeEqAAAAAJ&hl=en,IIT Bombay,Mumbai,912,644,Artificial Intelligence Machine Learning
Himanshu Sharad Bhatt,70,67,https://www.semanticscholar.org/author/Himanshu-S.-Bhatt/2559473,11,25,466,14,14,https://www.scopus.com/authid/detail.uri?authorId=36348119700,https://scholar.google.co.in/citations?user=dZQOltMAAAAJ&hl=en,American Express,Bengaluru,997,820,Machine Learning Pattern Recognition Natural Language Processing Biometrics Computer Vision
Krishnan Kutty,3,3,https://www.semanticscholar.org/author/K.-Krishnan-Kutty/50714028,6,22,63,7,7,https://www.scopus.com/authid/detail.uri?authorId=35762754100,https://scholar.google.com/citations?user=B7U_AEwAAAAJ&hl=en,TCS,Pune,160,135,Image Processing Computer Vision Machine Learning
Laxmidhar Behera,65,65,https://www.semanticscholar.org/author/Laxmidhar-Behera/1726381,20,216,1478,19,28,https://www.scopus.com/authid/detail.uri?authorId=6701522952,https://scholar.google.com/citations?user=QWTcyP8AAAAJ&hl=en,IIT Kanpur,Kanpur,2520,1431,Intelligent Systems and Control Robotics Soft Computing
